Column Id	Column Names
1	volunteer_grpId
2	volunteer_activityId
3	activityType
4	tbodyacc-mean-x
5	tbodyacc-mean-y
6	tbodyacc-mean-z
7	tbodyacc-std-x
8	tbodyacc-std-y
9	tbodyacc-std-z
10	tgravityacc-mean-x
11	tgravityacc-mean-y
12	tgravityacc-mean-z
13	tgravityacc-std-x
14	tgravityacc-std-y
15	tgravityacc-std-z
16	tbodyaccjerk-mean-x
17	tbodyaccjerk-mean-y
18	tbodyaccjerk-mean-z
19	tbodyaccjerk-std-x
20	tbodyaccjerk-std-y
21	tbodyaccjerk-std-z
22	tbodygyro-mean-x
23	tbodygyro-mean-y
24	tbodygyro-mean-z
25	tbodygyro-std-x
26	tbodygyro-std-y
27	tbodygyro-std-z
28	tbodygyrojerk-mean-x
29	tbodygyrojerk-mean-y
30	tbodygyrojerk-mean-z
31	tbodygyrojerk-std-x
32	tbodygyrojerk-std-y
33	tbodygyrojerk-std-z
34	tbodyaccmag-mean
35	tbodyaccmag-std
36	tgravityaccmag-mean
37	tgravityaccmag-std
38	tbodyaccjerkmag-mean
39	tbodyaccjerkmag-std
40	tbodygyromag-mean
41	tbodygyromag-std
42	tbodygyrojerkmag-mean
43	tbodygyrojerkmag-std
44	fbodyacc-mean-x
45	fbodyacc-mean-y
46	fbodyacc-mean-z
47	fbodyacc-std-x
48	fbodyacc-std-y
49	fbodyacc-std-z
50	fbodyacc-meanfreq-x
51	fbodyacc-meanfreq-y
52	fbodyacc-meanfreq-z
53	fbodyaccjerk-mean-x
54	fbodyaccjerk-mean-y
55	fbodyaccjerk-mean-z
56	fbodyaccjerk-std-x
57	fbodyaccjerk-std-y
58	fbodyaccjerk-std-z
59	fbodyaccjerk-meanfreq-x
60	fbodyaccjerk-meanfreq-y
61	fbodyaccjerk-meanfreq-z
62	fbodygyro-mean-x
63	fbodygyro-mean-y
64	fbodygyro-mean-z
65	fbodygyro-std-x
66	fbodygyro-std-y
67	fbodygyro-std-z
68	fbodygyro-meanfreq-x
69	fbodygyro-meanfreq-y
70	fbodygyro-meanfreq-z
71	fbodyaccmag-mean
72	fbodyaccmag-std
73	fbodyaccmag-meanfreq
74	fbodybodyaccjerkmag-mean
75	fbodybodyaccjerkmag-std
76	fbodybodyaccjerkmag-meanfreq      
77	fbodybodygyromag-mean
78	fbodybodygyromag-std
79	fbodybodygyromag-meanfreq
80	fbodybodygyrojerkmag-mean
81	fbodybodygyrojerkmag-std
82	fbodybodygyrojerkmag-meanfreq      
83	angletbodyaccmean-gravity
84	angletbodyaccjerkmean-gravitymean 
85	angletbodygyromean-gravitymean     
86	angletbodygyrojerkmean-gravitymean 
87	anglex-gravitymean
88	angley-gravitymean
89	anglez-gravitymean
